"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance","d18O_measurements","datings","min_corr_age","max_corr_age","period","mineralogy","mean_d18O"
120,251,40.76,-0.59,1240,"mixed","10","48",236,22,218975.67,257426.49,38450.82,"calcite",-7.798
121,252,47.16,13.15,2119,"mixed","NULL","NULL",1340,20,113389.5,126889.04,13499.54,"calcite",-9.422
122,253,30.45,110.4167,294,"dolomite","400","150",1223,21,-52,9470,9522,"calcite",-8.787
123,255,46.6167,8.083,1840,"limestone","NULL","NULL",615,9,3248.65,6830,3581.35,"calcite",-8.038
123,256,46.6167,8.083,1840,"limestone","NULL","NULL",1084,14,1986.95,9025.84,7038.89,"calcite",-8.271
123,257,46.6167,8.083,1840,"limestone","NULL","NULL",1141,9,3889.71,7245.91,3356.2,"calcite",-8.5
58,261,47.08,11.67,2310,"marble","20","NULL",917,33,187290,242070,54780,"calcite",-10.863
126,262,30.6419,77.6521,1470,"limestone","NULL","12.1",125,5,1580,3907,2327,"calcite",-9.462
127,263,24.2,103.36,1500,"unknown","NULL","350",157,10,30140,41420,11280,"calcite",-10.932
127,264,24.2,103.36,1500,"unknown","NULL","350",155,8,57418,81951,24533,"calcite",-13.298
127,265,24.2,103.36,1500,"unknown","NULL","350",119,8,59670,71000,11330,"calcite",-10.561
127,266,24.2,103.36,1500,"unknown","NULL","350",419,23,73060,251960,178900,"calcite",-11.616
127,267,24.2,103.36,1500,"unknown","NULL","350",92,8,172340,189460,17120,"calcite",-11.7
127,268,24.2,103.36,1500,"unknown","NULL","350",681,16,5340,43630,38290,"calcite",-11.56
127,269,24.2,103.36,1500,"unknown","NULL","350",140,12,76610,106540,29930,"calcite",-12.288
127,270,24.2,103.36,1500,"unknown","NULL","350",135,6,167250,170730,3480,"calcite",-12.959
129,277,38.1665,13.1603,22,"limestone","4","250",1234,11,947.73,8373.72,7425.99,"calcite",-5.806
130,278,19,82,400,"unknown","NULL","220",1874,14,387.9,1325.25,937.35,"calcite",-4.056
131,279,45.9667,11.65,1167,"limestone","20","NULL",1220,8,2511.48,7969.05,5457.57,"calcite",-7.65
132,280,47.08,11.67,2165,"marble","NULL","NULL",1633,17,47396,55966,8570,"calcite",-12.868
132,281,47.08,11.67,2165,"marble","NULL","NULL",1591,17,47816,58266,10450,"calcite",-13.06
134,284,31.75,-110.75,1639,"unknown","NULL","NULL",1208,62,11484,53335,41851,"calcite",-9.913
136,286,17.4,-99.2,934,"limestone","160","800",1227,20,-60.05,2396.61,2456.66,"aragonite",-7.997
136,287,17.4,-99.2,934,"limestone","150","750",689,15,11552.81,22061.01,10508.2,"calcite",-7.031
136,288,17.4,-99.2,934,"limestone","150","750",265,4,6908.14,7243.66,335.52,"aragonite",-8.36
136,289,17.4,-99.2,934,"limestone","160","800",527,11,-7.47,1000.12,1007.59,"aragonite",-8.428
137,290,54.15,56.85,240,"limestone","125","NULL",682,18,1788,11674,9886,"calcite",-12.355
137,291,54.15,56.85,240,"limestone","125","NULL",254,11,-50,11704,11754,"calcite",-12.22
138,293,12.55,54.2,400,"limestone","NULL","1000",632,27,11086,27370,16284,"calcite",-1.385
139,294,42.0981,-123.4072,1300,"marble","60","NULL",2680,20,234.28,7991.74,7757.46,"calcite",-8.926
140,295,31.667,110.4333,1900,"limestone","150","1000",256,16,2089,11532,9443,"calcite",-10.135
140,296,31.667,110.4333,1900,"limestone","150","1000",259,5,403,5229.12,4826.12,"calcite",-9.462
140,297,31.667,110.4333,1900,"limestone","150","1000",150,7,2351,8475.98,6124.98,"calcite",-9.908
140,298,31.667,110.4333,1900,"limestone","150","1000",489,24,70.27,12862.57,12792.3,"calcite",-9.574
140,299,31.667,110.4333,1900,"limestone","150","1000",105,6,6860,13179,6319,"calcite",-9.526
140,300,31.667,110.4333,1900,"limestone","150","1000",158,7,10206,13185,2979,"calcite",-9.354
140,301,31.667,110.4333,1900,"limestone","NULL","1500",132,25,424300,462800,38500,"calcite",-8.596
140,302,31.667,110.4333,1900,"limestone","NULL","1500",2484,68,299200,624400,325200,"calcite",-8.313
140,303,31.667,110.4333,1900,"limestone","NULL","1500",585,84,503800,641300,137500,"calcite",-8.345
140,304,31.667,110.4333,1900,"limestone","NULL","1500",155,18,426300,464900,38600,"calcite",-8.733
141,305,41.4167,31.9333,440,"limestone","NULL","NULL",3977,98,-56,50274.5,50330.5,"calcite",-11.629
142,306,30.9167,90.0667,4800,"unknown","NULL","150",234,18,76398,125146,48748,"calcite",-21.247
142,307,30.9167,90.0667,4800,"unknown","NULL","150",100,4,123227,127215,3988,"calcite",-22.207
142,308,30.9167,90.0667,4800,"unknown","NULL","200",1005,10,4147.8,9045.3,4897.5,"calcite",-18.581
143,310,42.61,-7.09,1240,"unknown","5","50",109,19,340,9440,9100,"mixed",-4.921
144,311,-27.2247,-49.1569,180,"limestone","NULL","300",231,12,196,9211.33,9015.33,"calcite",-3.209
144,312,-27.2247,-49.1569,180,"limestone","NULL","NULL",689,20,-55,116103.3,116158.3,"calcite",-2.854
146,319,4.02,114.48,150,"limestone","NULL","250",439,24,-50,26380,26430,"calcite",-8.382
146,320,4.02,114.48,150,"limestone","NULL","250",299,26,-50,26370,26420,"calcite",-8.441
147,322,33.5067,-105.4433,1864,"unknown","NULL","NULL",1209,68,11310,55846,44536,"calcite",-8.427
39,324,25.2833,108.0833,680,"limestone","NULL","NULL",80,9,217201.46,225257.78,8056.32000000001,"calcite",-8.657
151,326,-42.3108,172.2178,130,"marble","NULL","NULL",187,3,-55.67,8869.21,8924.88,"calcite",-5.304
152,327,23.0833,57.35,800,"limestone","50","1000",832,12,6026,9607.13,3581.13,"calcite",-4.759
154,329,33.5667,109.1,1495,"limestone","NULL","NULL",828,23,-48,8614,8662,"calcite",-9.172
154,330,33.5667,109.1,1495,"limestone","NULL","NULL",217,15,-8,18958,18966,"calcite",-9.059
155,331,-15.3,128.62,100,"limestone","15","600",406,14,304,8806,8502,"calcite",-9.408
155,332,-15.3,128.62,100,"limestone","15","500",33,3,3115,3846,731,"aragonite",-8.123
155,333,-15.3,128.62,100,"limestone","15","600",97,5,7419,8175,756,"calcite",-9.247
155,334,-15.3,128.62,100,"limestone","15","500",223,3,2141,3140,999,"aragonite",-7.873
155,335,-15.3,128.62,100,"limestone","15","500",125,5,499,1390,891,"aragonite",-6.748
155,336,-15.3,128.62,100,"limestone","15","500",110,21,-58.5,193,251.5,"aragonite",-8.088
155,339,-15.3,128.62,100,"limestone","15","500",119,3,7914,8844,930,"aragonite",-8.535
155,340,-15.3,128.62,100,"limestone","15","500",124,6,318,865,547,"aragonite",-7.85
155,341,-15.3,128.62,100,"limestone","15","500",143,7,312,640,328,"aragonite",-7.654
155,342,-15.3,128.62,100,"limestone","15","500",74,9,3197,3676,479,"aragonite",-7.825
155,343,-15.3,128.62,100,"limestone","15","500",82,3,1720,2173,453,"aragonite",-7.589
155,345,-15.3,128.62,100,"limestone","15","500",43,3,2575,2907,332,"aragonite",-7.851
155,346,-15.3,128.62,100,"limestone","15","500",74,3,1428,1713,285,"aragonite",-7.128
156,347,36.736,21.7596,70,"limestone","40","30",356,24,1296.49,4687.4,3390.91,"calcite",-4.878
157,348,15.15,77.92,475,"unknown","NULL","NULL",333,14,-59.06,3852.2,3911.26,"mixed",-6.271
157,349,15.15,77.92,475,"unknown","NULL","NULL",90,9,-54.71,694.88,749.59,"mixed",-5.775
158,350,-41.23,172.68,390,"marble","NULL","NULL",201,9,114.84,30848.56,30733.72,"calcite",-5.237
159,351,17.1667,54.3,650,"unknown","NULL","NULL",1412,18,308,10558,10250,"calcite",-1.423
160,352,31.7558,35.0226,400,"dolomite","20","35",209,7,742.78,2085.88,1343.1,"calcite",-6.584
160,353,31.7558,35.0226,400,"dolomite","20","35",1223,11,4384,33748,29364,"calcite",-5.46
161,355,-45.2953,167.6979,260,"limestone","NULL","NULL",124,4,1700.82,7089.7,5388.88,"calcite",-6.467
162,356,-46.02,167.74,1025,"limestone","NULL","NULL",51,6,1690.08,9284.17,7594.09,"calcite",-6.602
163,357,-38.25,175.02,90,"unknown","NULL","NULL",66,5,130.77,10098.09,9967.32,"calcite",-3.9
163,358,-38.25,175.02,90,"unknown","NULL","NULL",142,6,-23.65,11772.68,11796.33,"calcite",-3.833
164,359,-38.2667,175.0167,325,"unknown","NULL","NULL",61,4,2952.14,6103.94,3151.8,"calcite",-4.256
165,360,-36.27,175.08,80,"unknown","NULL","NULL",33,4,7398.15,11089.11,3690.96,"calcite",-3.697
166,361,-38.82,177.52,100,"limestone","NULL","NULL",211,7,173.07,9278.72,9105.65,"calcite",-4.687
166,362,-38.82,177.52,100,"limestone","NULL","NULL",218,5,630.51,2794.42,2163.91,"calcite",-4.648
168,364,-42.1,171.4,95,"limestone","NULL","NULL",85,9,4928.41,13410.65,8482.24,"calcite",-3.116
169,365,-45.3735,167.0476,960,"marble","NULL","NULL",96,4,2929.59,11215.71,8286.12,"calcite",-4.542
104,367,-8.53,120.43,550,"limestone","40","800",169,31,20.32,23888.18,23867.86,"calcite",-5.879
104,368,-8.53,120.43,550,"limestone","40","900",64,6,9993.93,13689.17,3695.24,"calcite",-4.564
104,369,-8.53,120.43,550,"limestone","40","900",55,5,20541.6,27825.14,7283.54,"calcite",-4.877
104,370,-8.53,120.43,550,"limestone","40","900",125,10,10110.86,22015.18,11904.32,"mixed",-4.848
104,371,-8.53,120.43,550,"limestone","40","900",130,22,11840.75,23571.6,11730.85,"calcite",-5.096
172,377,-24.1,29.88,1450,"dolomite","100","375",196,9,39742,57872,18130,"mixed",-4.508
